id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.64617,-79.42451,Entire home/apt,469,28,7,2017-12-04,0.09,1,0
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64105,-79.37628,Private room,94,180,169,2013-08-27,1.56,2,365
23691,Queen Bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69602,-79.45468,Private room,72,28,217,2018-10-10,1.79,2,365
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,Greenwood-Coxwell,43.6689,-79.32592,Entire home/apt,45,365,26,2011-06-25,0.21,1,159
28160,"Safe, Central, Quiet and Great Amenities!",86838,Rita,,Mount Pleasant West,43.69958,-79.38814,Entire home/apt,75,30,7,2018-10-17,0.10,1,345
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64151,-79.37643,Entire home/apt,125,180,1,2010-08-11,0.01,2,365
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63532,-79.44049,Entire home/apt,100,30,113,2018-08-01,0.92,4,190
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67373,-79.28697,Entire home/apt,70,28,1,2013-07-01,0.01,1,55
41887,Great location,183071,Kyle,,Oakridge,43.69466,-79.28667,Entire home/apt,70,28,85,2021-02-16,1.59,2,350
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64451,-79.38185,Entire home/apt,130,89,0,,,8,217
43964,Bright entire 2-bedrm basement suite private entry,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Private room,93,2,31,2019-08-05,0.59,1,339
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Church-Yonge Corridor,43.66979,-79.38494,Entire home/apt,105,28,59,2021-01-23,0.45,16,339
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67136,-79.38598,Private room,79,28,8,2017-08-27,0.07,16,217
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66103,-79.3834,Entire home/apt,120,28,78,2019-09-02,0.68,16,337
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67191,-79.38585,Private room,99,28,9,2017-07-16,0.07,16,127
45601,Marigold Gardens,188183,Simon,,South Riverdale,43.66274,-79.33096,Private room,50,28,0,,,1,365
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Church-Yonge Corridor,43.66957,-79.38539,Private room,86,28,18,2018-09-16,0.15,16,230
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38548,Entire home/apt,123,28,56,2019-08-09,1.74,16,333
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.39,1,0
57483,Downtown 3 Beds 2 Baths @ Union & Harbour,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.64286,-79.38073,Entire home/apt,130,89,0,,,8,339
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.6444,-79.40829,Private room,40,30,17,2020-11-01,0.14,7,309
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66949,-79.38384,Entire home/apt,121,28,56,2019-08-03,2.31,16,34
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64597,-79.40766,Private room,60,30,11,2013-06-03,0.09,7,248
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65956,-79.43228,Entire home/apt,149,28,273,2018-06-30,2.27,2,0
82694,Luxury Hotel Downtown Living !!,431260,Caterina,,Niagara,43.64171,-79.40469,Entire home/apt,108,30,29,2016-06-16,0.49,1,362
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64457,-79.40451,Entire home/apt,120,28,6,2015-07-05,0.07,1,0
84151,North City View Yonge/Bloor,195095,Urbano,,Church-Yonge Corridor,43.6696,-79.38547,Entire home/apt,130,28,24,2015-06-04,0.20,16,339
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69662,-79.45325,Private room,62,28,88,2019-09-29,1.32,2,365
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64458,-79.41022,Entire home/apt,232,4,125,2019-12-29,1.54,1,156
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66527,-79.32934,Entire home/apt,175,5,18,2016-09-06,0.15,1,249
